Time	sum(Output total – Blocks (DASH)) – Dash
19.01.2014	604505472357642
20.01.2014	238526204567428
21.01.2014	18005160445014
22.01.2014	2208598602296
23.01.2014	2717462627500
24.01.2014	43841664889284
25.01.2014	5387444099712
26.01.2014	42742003094384
27.01.2014	22346337980082
28.01.2014	58949457598034
29.01.2014	31057146498098
30.01.2014	86254389974780
31.01.2014	25616527106446
01.02.2014	60248994715608
02.02.2014	69141501638838
03.02.2014	110032815031892
04.02.2014	61290663561550
05.02.2014	136368872120882
06.02.2014	99377796118166
07.02.2014	62921059934420
08.02.2014	382311908164131
09.02.2014	47864471948342
10.02.2014	12164939049613
11.02.2014	48770763832541
12.02.2014	54840734830663
13.02.2014	43660769768457
14.02.2014	28177383797832
15.02.2014	26818154802405
16.02.2014	27445243288871
17.02.2014	82217875072852
18.02.2014	73097117250359
19.02.2014	20565940296450
20.02.2014	28573827336364
21.02.2014	12452522090965
22.02.2014	34881962405186
23.02.2014	38393731435213
24.02.2014	107105164559974
25.02.2014	93179714625254
26.02.2014	113732873864286
27.02.2014	58721003375817
28.02.2014	34129932978802
01.03.2014	74853876865039
02.03.2014	118890184805289
03.03.2014	31852781128346
04.03.2014	26282536886081
05.03.2014	67364209192626
06.03.2014	65976685080121
07.03.2014	62753944342791
08.03.2014	25369199351706
09.03.2014	9686580280801
10.03.2014	26000396887400
11.03.2014	27024361150693
12.03.2014	10999647977098
13.03.2014	13020182497487
14.03.2014	10365455213053
15.03.2014	6419399798860
16.03.2014	31181705716696
17.03.2014	24645853960280
18.03.2014	21882523877890
19.03.2014	22539546200741
20.03.2014	46810891452245
21.03.2014	8672670048507
22.03.2014	20506768262316
23.03.2014	11255028900008
24.03.2014	15709967468831
25.03.2014	9473177344214
26.03.2014	9184282883481
27.03.2014	9745071994502
28.03.2014	9359825891958
29.03.2014	7177172743301
30.03.2014	12329732498082
31.03.2014	7256396430892
01.04.2014	12778638086361
02.04.2014	9492465471502
03.04.2014	5863265603963
04.04.2014	6892163987298
05.04.2014	6833916911316
06.04.2014	9042173894509
07.04.2014	12923016421082
08.04.2014	14129600888507
09.04.2014	6301031528883
10.04.2014	6738513592686
11.04.2014	12429515714226
12.04.2014	5713852171092
13.04.2014	5877197029280
14.04.2014	13700400648139
15.04.2014	7647299538093
16.04.2014	10598531336776
17.04.2014	12464973698267
18.04.2014	189093862847800
19.04.2014	17642536549422
20.04.2014	12565791241720
21.04.2014	17147827670843
22.04.2014	17821410733068
23.04.2014	28543044540917
24.04.2014	46141586993609
25.04.2014	58682276478744
26.04.2014	110657026886136
27.04.2014	26319166849241
28.04.2014	9215562527600
29.04.2014	14308887333031
30.04.2014	17743219423355
01.05.2014	23033654263441
02.05.2014	22536278128882
03.05.2014	32473000266262
04.05.2014	32894225077682
05.05.2014	10833287151708
06.05.2014	7201809210962
07.05.2014	17509185251255
08.05.2014	6473313187891
09.05.2014	57846486979951
10.05.2014	50165836237763
11.05.2014	33128931389519
12.05.2014	153943005737409
13.05.2014	133974406927587
14.05.2014	90030739673586
15.05.2014	145408014094224
16.05.2014	25156697562669
17.05.2014	17421832077096
18.05.2014	30537323877577
19.05.2014	57411684989574
20.05.2014	13140049342077
21.05.2014	22262408675262
22.05.2014	48115526539461
23.05.2014	57999933356451
24.05.2014	75518285230577
25.05.2014	69188908494025
26.05.2014	112843019512158
27.05.2014	41347172101647
28.05.2014	56291693036081
29.05.2014	30775716796567
30.05.2014	25819563986712
31.05.2014	11623411191998
01.06.2014	19884165029909
02.06.2014	78130180983083
03.06.2014	32574808685628
04.06.2014	16975477034255
05.06.2014	29195721717510
06.06.2014	74057372102375
07.06.2014	6868720881070
08.06.2014	16361089227649
09.06.2014	17321521775690
10.06.2014	9642926679531
11.06.2014	13211738909415
12.06.2014	73821386007325
13.06.2014	27779789237112
14.06.2014	27820996518920
15.06.2014	11147080119696
16.06.2014	33415939391196
17.06.2014	43236046602116
18.06.2014	76397671858423
19.06.2014	41308947952472
20.06.2014	77626568616583
21.06.2014	21204359997557
22.06.2014	13171713039585
23.06.2014	26537088552302
24.06.2014	5365075297760
25.06.2014	6845387167121
26.06.2014	220686555989464
27.06.2014	17847187696329
28.06.2014	17693980896739
29.06.2014	16805606617501
30.06.2014	72031323250484
01.07.2014	47124312794331
02.07.2014	87041287490876
03.07.2014	70748909008280
04.07.2014	31315520883994
05.07.2014	31729246155788
06.07.2014	29207722157585
07.07.2014	61881091238497
08.07.2014	27065420281785
09.07.2014	11623722773229
10.07.2014	12948461659269
11.07.2014	11895165155394
12.07.2014	5328383562770
13.07.2014	15044311431963
14.07.2014	15821300859991
15.07.2014	10756963345430
16.07.2014	20751622826085
17.07.2014	33471721974983
18.07.2014	26385620863540
19.07.2014	6152201744191
20.07.2014	7839459970589
21.07.2014	27087815079841
22.07.2014	9212398191502
23.07.2014	36385283884647
24.07.2014	15977511375079
25.07.2014	115642010969663
26.07.2014	32320466786928
27.07.2014	21298489893254
28.07.2014	16692377534974
29.07.2014	55664478905507
30.07.2014	64163247285334
31.07.2014	12085378492777
01.08.2014	12317716886491
02.08.2014	9475245944488
03.08.2014	11502680847234
04.08.2014	6912827359668
05.08.2014	46739293321100
06.08.2014	6805730850122
07.08.2014	6831615606589
08.08.2014	373727184046343
09.08.2014	5964623341418
10.08.2014	194229465969519
11.08.2014	42820338272379
12.08.2014	2413397487965
13.08.2014	29649246094146
14.08.2014	32482005498995
15.08.2014	55044488467005
16.08.2014	55262686192329
17.08.2014	38473582062736
18.08.2014	125204181699499
19.08.2014	100192291832906
20.08.2014	58210786136827
21.08.2014	167037661666548
22.08.2014	261478339271419
23.08.2014	20081794756770
24.08.2014	26497531886197
25.08.2014	12258965049538
26.08.2014	28835005060664
27.08.2014	37015059390652
28.08.2014	74913644817943
29.08.2014	26389106492484
30.08.2014	12054386361558
31.08.2014	6961665576937
01.09.2014	5765574076255
02.09.2014	8848477833015
03.09.2014	24132939746029
04.09.2014	15415382333740
05.09.2014	16100060138371
06.09.2014	101187091476116
07.09.2014	5073409967175
08.09.2014	5872739699576
09.09.2014	4263046389030
10.09.2014	3913938801208
11.09.2014	6290937758661
12.09.2014	4832490632388
13.09.2014	5954958859512
14.09.2014	4359292188864
15.09.2014	14126032984868
16.09.2014	7576138188330
17.09.2014	57676196042038
18.09.2014	55095944099835
19.09.2014	33525363948182
20.09.2014	26817072730188
21.09.2014	7673347373975
22.09.2014	117956279425600
23.09.2014	21975037092783
24.09.2014	15592619518597
25.09.2014	18550648486422
26.09.2014	15610479496970
27.09.2014	11892491817487
28.09.2014	228484376685019
29.09.2014	8948678032267
30.09.2014	14252062925628
01.10.2014	13891333738831
02.10.2014	33813560644718
03.10.2014	5461018347967
04.10.2014	5992226396383
05.10.2014	23206594285640
06.10.2014	61648643066154
07.10.2014	177834965551211
08.10.2014	95780582226991
09.10.2014	387037582320784
10.10.2014	503794915229316
11.10.2014	964315167763217
12.10.2014	516014139402752
13.10.2014	1333497520271945
14.10.2014	780084425891227
15.10.2014	34536294333317
16.10.2014	4681173121537502
17.10.2014	568406950523304
18.10.2014	1008501403315314
19.10.2014	3644426277989060
20.10.2014	725266716769290
21.10.2014	654673782754662
22.10.2014	287160311900396
23.10.2014	145204134433218
24.10.2014	48115496875266
25.10.2014	22954247192137
26.10.2014	16432885787777
27.10.2014	23959100147624
28.10.2014	17703858000432
29.10.2014	21797158678080
30.10.2014	11129847888923
31.10.2014	19882911059826
01.11.2014	9723311392701
02.11.2014	9474714039764
03.11.2014	9925196498791
04.11.2014	13381572102514
05.11.2014	18202211863714
06.11.2014	22700255701331
07.11.2014	33508215073375
08.11.2014	39862618907435
09.11.2014	26527576215474
10.11.2014	17707435379822
11.11.2014	6570928009224
12.11.2014	12434390268525
13.11.2014	5623785030071
14.11.2014	22048244455876
15.11.2014	17127028906162
16.11.2014	13800769718066
17.11.2014	66213865661281
18.11.2014	22718876590651
19.11.2014	32152296231520
20.11.2014	72331127856551
21.11.2014	62688672087940
22.11.2014	8780567901638
23.11.2014	65655132901398
24.11.2014	155536012840780
25.11.2014	118726709109032
26.11.2014	14820982841028
27.11.2014	146128422740000
28.11.2014	5460026016657
29.11.2014	420081655244119
30.11.2014	5862774625375
01.12.2014	5500711333937
02.12.2014	14810226430073
03.12.2014	263524684057754
04.12.2014	249253381862482
05.12.2014	13611863377599
06.12.2014	179806279018394
07.12.2014	13844266774352
08.12.2014	13417780088616
09.12.2014	16347425346196
10.12.2014	15099126593158
11.12.2014	17182227083274
12.12.2014	12920832245876
13.12.2014	10919127415793
14.12.2014	6559847973914
15.12.2014	9226308355852
16.12.2014	8969310427910
17.12.2014	8581992139043
18.12.2014	10700824598904
19.12.2014	11283002309138
20.12.2014	9918978195019
21.12.2014	23470166221601
22.12.2014	21749863826575
23.12.2014	8112310757328
24.12.2014	29351822218921
25.12.2014	11194823837776
26.12.2014	10045969490736
27.12.2014	6008513347683
28.12.2014	7529960309460
29.12.2014	8178385500620
30.12.2014	9250419807201
31.12.2014	15600321800447
01.01.2015	3791958033199
02.01.2015	6010054944774
03.01.2015	6430017557433
04.01.2015	12730806024421
05.01.2015	49415436186329
06.01.2015	15735843197665
07.01.2015	10278526142998
08.01.2015	12832468346647
09.01.2015	15215818635902
10.01.2015	17396471037698
11.01.2015	176498573438446
12.01.2015	14335008542788
13.01.2015	11328264202849
14.01.2015	7193024653683
15.01.2015	11916161020830
16.01.2015	26714533162439
17.01.2015	27931413493402
18.01.2015	19105707171985
19.01.2015	40194112384317
20.01.2015	20716267151409
21.01.2015	18469941908865
22.01.2015	16330413751242
23.01.2015	12735745238275
24.01.2015	18905853498184
25.01.2015	15266869795235
26.01.2015	11119400884524
27.01.2015	12044410386802
28.01.2015	18147112782587
29.01.2015	15514843815403
30.01.2015	7730794224403
31.01.2015	16706978414087
01.02.2015	17912241979311
02.02.2015	13994693629562
03.02.2015	11319636206392
04.02.2015	8998931541948
05.02.2015	10165875151833
06.02.2015	10931962590507
07.02.2015	6858454484941
08.02.2015	12387332815142
09.02.2015	27074167424064
10.02.2015	49123462498668
11.02.2015	44015166410247
12.02.2015	26341932265208
13.02.2015	22059731649379
14.02.2015	19785596541376
15.02.2015	15759605237876
16.02.2015	11553656858462
17.02.2015	78907762986626
18.02.2015	56061255430388
19.02.2015	8191812723579
20.02.2015	9146446527432
21.02.2015	22059580827258
22.02.2015	15533093667452
23.02.2015	61513102572153
24.02.2015	15218691142576
25.02.2015	20688040407900
26.02.2015	15330293731488
27.02.2015	18316557395048
28.02.2015	12786356185052
01.03.2015	10125680222083
02.03.2015	6935172642124
03.03.2015	52331567138131
04.03.2015	13054625290399
05.03.2015	44301335483983
06.03.2015	111217110244625
07.03.2015	15493968472938
08.03.2015	21171429638186
09.03.2015	18197267401594
10.03.2015	196654875367936
11.03.2015	22550935752914
12.03.2015	154918211287015
13.03.2015	46075834320712
14.03.2015	35339392094654
15.03.2015	79756777825393
16.03.2015	113613960319853
17.03.2015	29101079275079
18.03.2015	84837167864694
19.03.2015	27348996874891
20.03.2015	18914310929823
21.03.2015	47165104743781
22.03.2015	22673895200751
23.03.2015	18508601229352
24.03.2015	34558019673394
25.03.2015	28174818188239
26.03.2015	27651729939913
27.03.2015	20661758862040
28.03.2015	55504508721858
29.03.2015	136219244445922
30.03.2015	17037756373717
31.03.2015	21297993659003
01.04.2015	14370056199036
02.04.2015	17868912280836
03.04.2015	19660052898806
04.04.2015	11974663885761
05.04.2015	37031403672004
06.04.2015	13672046311288
07.04.2015	15210727991475
08.04.2015	14644303050264
09.04.2015	27094367732315
10.04.2015	13265072320036
11.04.2015	13227851712819
12.04.2015	16172389449871
13.04.2015	63429553076583
14.04.2015	11884273868834
15.04.2015	13089112015748
16.04.2015	24859598250152
17.04.2015	134111326651818
18.04.2015	4726365166204
19.04.2015	11394630155305
20.04.2015	9560068483549
21.04.2015	9374245138853
22.04.2015	41728953359687
23.04.2015	11459183705842
24.04.2015	9132328522914
25.04.2015	6011486141552
26.04.2015	15925677140600
27.04.2015	9494054520951
28.04.2015	8973866267820
29.04.2015	11897920717242
30.04.2015	28416161344877
01.05.2015	7276402127044
02.05.2015	5074131472204
03.05.2015	8101360003811
04.05.2015	9195555433614
05.05.2015	7228952259999
06.05.2015	7465359222305
07.05.2015	5939567119927
08.05.2015	8881731025415
09.05.2015	6887457332222
10.05.2015	4635274737786
11.05.2015	9884083788658
12.05.2015	9769338272285
13.05.2015	6867897983519
14.05.2015	6841712587917
15.05.2015	7137462653046
16.05.2015	12101132952592
17.05.2015	10127664749754
18.05.2015	10513838369499
19.05.2015	9857287867599
20.05.2015	7327304105457
21.05.2015	8285252477271
22.05.2015	36284896355938
23.05.2015	27373757239921
24.05.2015	12534412665491
25.05.2015	7706483050044
26.05.2015	13939802687505
27.05.2015	6585477585754
28.05.2015	11130008375782
29.05.2015	6034486608950
30.05.2015	4494839470911
31.05.2015	6172191117360
01.06.2015	6294419993512
02.06.2015	7733572933194
03.06.2015	15393215660351
04.06.2015	5033652830475
05.06.2015	3317917292353
06.06.2015	2903505224155
07.06.2015	26450063403824
08.06.2015	5108335821576
09.06.2015	6811068604193
10.06.2015	9262307682033
11.06.2015	4413370787315
12.06.2015	7123956526263
13.06.2015	8627076112268
14.06.2015	12761301196679
15.06.2015	13635259907311
16.06.2015	12824563368310
17.06.2015	9490063346689
18.06.2015	12136059534618
19.06.2015	7792652071510
20.06.2015	5692068806910
21.06.2015	7761521172294
22.06.2015	7160710592190
23.06.2015	5793180415930
24.06.2015	7064074882382
25.06.2015	5571191823291
26.06.2015	5207486572217
27.06.2015	26268435252536
28.06.2015	20159527140561
29.06.2015	9651376991546
30.06.2015	8653897870747
01.07.2015	4000672036125
02.07.2015	12522740948975
03.07.2015	19517203723944
04.07.2015	31348796669239
05.07.2015	14404355071879
06.07.2015	17999630306037
07.07.2015	12856003218011
08.07.2015	16895864991281
09.07.2015	19704470419461
10.07.2015	33092907173386
11.07.2015	31795385535096
12.07.2015	5236181027005
13.07.2015	11940768928439
14.07.2015	6749713796068
15.07.2015	9496677972166
16.07.2015	17077792720200
17.07.2015	19677289553779
18.07.2015	33464931157324
19.07.2015	7867681663740
20.07.2015	10644993256668
21.07.2015	103081964714863
22.07.2015	4412501366843
23.07.2015	12899007598667
24.07.2015	47270397042633
25.07.2015	11715344605230
26.07.2015	8476430036134
27.07.2015	15777746747508
28.07.2015	20596498662928
29.07.2015	11196351776314
30.07.2015	7068402784934
31.07.2015	3529245462062
01.08.2015	4149710536887
02.08.2015	4184430897471
03.08.2015	4493016404449
04.08.2015	43630204828883
05.08.2015	44245429956558
06.08.2015	24107546442582
07.08.2015	29483354086292
08.08.2015	24450761804329
09.08.2015	11124066020322
10.08.2015	7162438321668
11.08.2015	8031149223640
12.08.2015	6537873755605
13.08.2015	9904611391099
14.08.2015	6572811905122
15.08.2015	23092485861933
16.08.2015	4855249285186
17.08.2015	46441375612351
18.08.2015	8951279235375
19.08.2015	6442063134646
20.08.2015	10389096712006
21.08.2015	11830948341021
22.08.2015	5601278215429
23.08.2015	8292479139537
24.08.2015	7931267331716
25.08.2015	9193120363204
26.08.2015	5119201932630
27.08.2015	35234040048371
28.08.2015	5345513465142
29.08.2015	6760247205544
30.08.2015	3621795796827
31.08.2015	10312182113646
01.09.2015	22838827354399
02.09.2015	14951767935993
03.09.2015	26555127695786
04.09.2015	21032378384506
05.09.2015	23501222213307
06.09.2015	10678867609144
07.09.2015	16702203428838
08.09.2015	38294954351560
09.09.2015	23883473809049
10.09.2015	14111541708776
11.09.2015	13525439210130
12.09.2015	23573475634555
13.09.2015	8234983836115
14.09.2015	12760614255974
15.09.2015	13169841622811
16.09.2015	12821072570897
17.09.2015	12356572067810
18.09.2015	14158605338397
19.09.2015	8096335748083
20.09.2015	26266217344315
21.09.2015	20522155250999
22.09.2015	33382308308064
23.09.2015	11626888170369
24.09.2015	14680485971792
25.09.2015	8448755808985
26.09.2015	4619545826119
27.09.2015	11097255123250
28.09.2015	5712247843435
29.09.2015	10100601687546
30.09.2015	8901393578396
01.10.2015	22715205100194
02.10.2015	6339642417452
03.10.2015	12386245697850
04.10.2015	6672962415007
05.10.2015	27278645077340
06.10.2015	31621874743190
07.10.2015	17522904594737
08.10.2015	4544793837338
09.10.2015	14085130935709
10.10.2015	2332316886975
11.10.2015	2852448240080
12.10.2015	14535636712322
13.10.2015	7595235199673
14.10.2015	7528641500947
15.10.2015	14669969872137
16.10.2015	8733099619884
17.10.2015	6201826461481
18.10.2015	7444680285942
19.10.2015	20513102149839
20.10.2015	26216472586860
21.10.2015	17806298647590
22.10.2015	12365520988967
23.10.2015	7076599815035
24.10.2015	9210708543074
25.10.2015	12823206532442
26.10.2015	8445523299576
27.10.2015	12601357716933
28.10.2015	19397942826369
29.10.2015	18283334983651
30.10.2015	8473553059937
31.10.2015	9543171786085
01.11.2015	12404785803390
02.11.2015	8624305496023
03.11.2015	14000184277794
04.11.2015	20607458703297
05.11.2015	21893999365904
06.11.2015	16786030032625
07.11.2015	6830395631203
08.11.2015	22744867194484
09.11.2015	8052285378274
10.11.2015	12955585259885
11.11.2015	7122762012426
12.11.2015	13576227761163
13.11.2015	6454555415846
14.11.2015	5766771967675
15.11.2015	6074184997792
16.11.2015	5155762549632
17.11.2015	6065761864778
18.11.2015	4424736031490
19.11.2015	16196212391778
20.11.2015	5725080459181
21.11.2015	2735552059159
22.11.2015	19954219432959
23.11.2015	5781804779773
24.11.2015	3989466416097
25.11.2015	6117917657886
26.11.2015	6686918070159
27.11.2015	3447942369885
28.11.2015	5294911580159
29.11.2015	4187170760553
30.11.2015	7626168196376
01.12.2015	9088591011054
02.12.2015	13462938376638
03.12.2015	9383854482162
04.12.2015	11564176230314
05.12.2015	4444740619616
06.12.2015	8251211097234
07.12.2015	5116838367825
08.12.2015	8988242865323
09.12.2015	11069642731223
10.12.2015	5398029393946
11.12.2015	6941973063095
12.12.2015	5513842758606
13.12.2015	5177245058297
14.12.2015	6541839627157
15.12.2015	47339818118422
16.12.2015	4978903229060
17.12.2015	3179342470496
18.12.2015	4997148666698
19.12.2015	3285060927463
20.12.2015	4544823125382
21.12.2015	6630356496508
22.12.2015	6005543547280
23.12.2015	4117982244990
24.12.2015	13969263067653
25.12.2015	4984640549642
26.12.2015	6732527449397
27.12.2015	4888743881397
28.12.2015	8691462214923
29.12.2015	6496773278463
30.12.2015	15882282133052
31.12.2015	14007661351781
01.01.2016	5460583716772
02.01.2016	11156619941186
03.01.2016	8398506668929
04.01.2016	6722408607301
05.01.2016	11002633233013
06.01.2016	5666185930136
07.01.2016	12700286008210
08.01.2016	8014674825812
09.01.2016	7480235633078
10.01.2016	12477268652307
11.01.2016	9800640395532
12.01.2016	37303695965944
13.01.2016	9939997588572
14.01.2016	11765583293465
15.01.2016	20763112063055
16.01.2016	20186756622981
17.01.2016	13642977593976
18.01.2016	30466817896102
19.01.2016	16344305666960
20.01.2016	12312888733000
21.01.2016	18098907844908
22.01.2016	35250476572469
23.01.2016	18298563772889
24.01.2016	13504564763085
25.01.2016	11857757141319
26.01.2016	7665902582459
27.01.2016	13387849523446
28.01.2016	9831463169212
29.01.2016	7180799590188
30.01.2016	9298677296038
31.01.2016	7289210281245
01.02.2016	6547750599206
02.02.2016	9616826506540
03.02.2016	14482533405729
04.02.2016	9282326121101
05.02.2016	7674515407854
06.02.2016	11193736777253
07.02.2016	5817509632953
08.02.2016	6033474471616
09.02.2016	6268406266572
10.02.2016	9471995844522
11.02.2016	7976561040827
12.02.2016	13432798892862
13.02.2016	10800593764452
14.02.2016	7633178476353
15.02.2016	5110915279402
16.02.2016	5701840971098
17.02.2016	17941371082286
18.02.2016	17333280835196
19.02.2016	7927174804933
20.02.2016	7185039279387
21.02.2016	57854794894795
22.02.2016	29777172310897
23.02.2016	9260076777642
24.02.2016	12882930743529
25.02.2016	7336131430687
26.02.2016	9052432292003
27.02.2016	10334742702893
28.02.2016	6518458533419
29.02.2016	10084846466457
01.03.2016	9434030891419
02.03.2016	6854351308239
03.03.2016	15945417174449
04.03.2016	19462008484322
05.03.2016	28678815200065
06.03.2016	16995506393968
07.03.2016	18959456981262
08.03.2016	20121205722266
09.03.2016	10737590741165
10.03.2016	40649187797388
11.03.2016	10921860151355
12.03.2016	14144844429999
