Time	sum(Output total – Blocks (DOGE)) – Dogecoin
06.12.2013	26400000000
08.12.2013	649513955010582000
09.12.2013	956097674648209000
10.12.2013	953840768173092100
11.12.2013	1535486522402339000
12.12.2013	1843646019815259100
13.12.2013	2992586554013176300
14.12.2013	3578570011880240600
15.12.2013	5925032620693725000
16.12.2013	-3929066188456657000
17.12.2013	2630128950289855000
18.12.2013	2736158483937291300
19.12.2013	2841780300429764600
20.12.2013	4489087664552951000
21.12.2013	4063318221023717000
22.12.2013	3870688305603084300
23.12.2013	4144266505344630000
24.12.2013	3318003437111602000
25.12.2013	3672596072562951700
26.12.2013	3280065274093241000
27.12.2013	3238920129342052400
28.12.2013	3132007407204367000
29.12.2013	2965150913202098000
30.12.2013	3193517089344073700
31.12.2013	3038919231321177000
01.01.2014	3280688428170358000
02.01.2014	3089371445993851400
03.01.2014	3446413344286123000
04.01.2014	3342114042592963600
05.01.2014	3221316030800896500
06.01.2014	2880235179983780400
07.01.2014	2991018633461221400
08.01.2014	2823424254780467700
09.01.2014	3403813534979645000
10.01.2014	3024989374336874500
11.01.2014	3173207258030183400
12.01.2014	3382982562172243500
13.01.2014	3440100081538635300
14.01.2014	3494362590008791000
15.01.2014	5779413441172451000
16.01.2014	4462047944086949400
17.01.2014	4651392570937696000
18.01.2014	4528044840403699700
19.01.2014	5801889979597477000
20.01.2014	6679033118061729000
21.01.2014	4239848909899988000
22.01.2014	-7746815386662201000
23.01.2014	-4586769791610308600
24.01.2014	8958286455664647000
25.01.2014	-3643394575495833600
26.01.2014	-2969762664005081000
27.01.2014	3391606536005790700
28.01.2014	-2978939079831896000
29.01.2014	-2779481871190223000
30.01.2014	-4721261196595089000
31.01.2014	-7186721766638655000
01.02.2014	6358553257805986000
02.02.2014	9066245002590009000
03.02.2014	-4046428228413192000
04.02.2014	5493149785808813000
05.02.2014	-3287681477562908700
06.02.2014	-1543745615002845200
07.02.2014	-5549112010645711000
08.02.2014	-1743723097452607500
09.02.2014	-4015869101097724000
10.02.2014	-5024145643019465000
11.02.2014	-6298013313876296000
12.02.2014	-1122605916540248000
13.02.2014	7121294187880791000
14.02.2014	8109883589784117000
15.02.2014	5291562031452793000
16.02.2014	3566312768656431600
17.02.2014	2577409529472274400
18.02.2014	2181708879283097300
19.02.2014	3450759976657466400
20.02.2014	3876945225634199000
21.02.2014	5158608813211091000
22.02.2014	5374546549384120000
23.02.2014	6143644963577922000
24.02.2014	6063128219310382000
25.02.2014	6891675345081138000
26.02.2014	4355745969653904400
27.02.2014	4169505154901537300
28.02.2014	2441344438917718500
01.03.2014	1361551474373870000
02.03.2014	1366587754544238000
03.03.2014	1306177712666828000
04.03.2014	1247042823917802200
05.03.2014	1395466452987935200
06.03.2014	1106015084648443400
07.03.2014	1627888421846948900
08.03.2014	1083034953008581400
09.03.2014	1090165885951617900
10.03.2014	947399448242013700
11.03.2014	1598984040403157500
12.03.2014	2487799472636237000
13.03.2014	1682850973589087700
14.03.2014	1575970501187072300
15.03.2014	1023557670145369100
16.03.2014	1404136952453712000
17.03.2014	1052235834540071800
18.03.2014	1333350520481344800
19.03.2014	1750231263822681300
20.03.2014	1808284623900227300
21.03.2014	1694007507611167500
22.03.2014	1695481625465821400
23.03.2014	4347824376913472500
24.03.2014	5224647045937405000
25.03.2014	4071926718655639000
