Time	sum(Value total – Blocks (ETH)) – Ethereum
30.07.2015	72049306593230000000000000
31.07.2015	36191718750000000000000
01.08.2015	27702187500000000000000
02.08.2015	28227187500000000000000
03.08.2015	27976718750000000000000
04.08.2015	28478437500000000000000
05.08.2015	27528593750000000000000
06.08.2015	27075468750000000000000
07.08.2015	2036234953509000000000000
08.08.2015	13611299576815000000000000
09.08.2015	1192661753745000000000000
10.08.2015	1698790572599000000000000
11.08.2015	1513774267059000000000000
12.08.2015	774905428670000000000000
13.08.2015	1816171837342000000000000
14.08.2015	2326584508520000000000000
15.08.2015	4659811880388000000000000
16.08.2015	1735696781458000000000000
17.08.2015	2272896706643000000000000
18.08.2015	1574905539664000000000000
19.08.2015	1176897585450000000000000
20.08.2015	438415698494000000000000
21.08.2015	613555943871000000000000
22.08.2015	522203818193000000000000
23.08.2015	524106665510000000000000
24.08.2015	489641697097000000000000
25.08.2015	433207873674000000000000
26.08.2015	465541360672000000000000
27.08.2015	297325334339000000000000
28.08.2015	324697135191000000000000
29.08.2015	452981070684000000000000
30.08.2015	437381961587000000000000
31.08.2015	406157509933000000000000
01.09.2015	1440183880271000000000000
02.09.2015	295963409932000000000000
03.09.2015	574180533310000000000000
04.09.2015	199649940632000000000000
05.09.2015	193123227977000000000000
06.09.2015	322418898144000000000000
07.09.2015	228001377468000000000000
08.09.2015	289596913560000000000000
09.09.2015	1172289129937000000000000
10.09.2015	232463641216000000000000
11.09.2015	753697257159000000000000
12.09.2015	244159294262000000000000
13.09.2015	250376593461000000000000
14.09.2015	293034291332000000000000
15.09.2015	629069529038000000000000
16.09.2015	581622262248000000000000
17.09.2015	321188394310000000000000
18.09.2015	433724303770000000000000
19.09.2015	417945101970000000000000
20.09.2015	159576078865000000000000
21.09.2015	184382754272000000000000
22.09.2015	221032215177000000000000
23.09.2015	158209930478000000000000
24.09.2015	333129618885000000000000
25.09.2015	689138055942000000000000
26.09.2015	277272392612000000000000
27.09.2015	407931509610000000000000
28.09.2015	738491584974000000000000
29.09.2015	428599189499000000000000
30.09.2015	534873930227000000000000
01.10.2015	565965496384000000000000
02.10.2015	175778178153000000000000
03.10.2015	149446887299000000000000
04.10.2015	303038360925000000000000
05.10.2015	190079569168000000000000
06.10.2015	531697716625000000000000
07.10.2015	336353768748000000000000
08.10.2015	340228991807000000000000
09.10.2015	249724068205000000000000
10.10.2015	154011533947000000000000
11.10.2015	179434007343000000000000
12.10.2015	297699091714000000000000
13.10.2015	437897259804000000000000
14.10.2015	1018411135017000000000000
15.10.2015	825488611581000000000000
16.10.2015	385605348126000000000000
17.10.2015	270328178026000000000000
18.10.2015	207987909253000000000000
19.10.2015	540711578893000000000000
20.10.2015	527814012958000000000000
21.10.2015	723100921083000000000000
22.10.2015	644612438709000000000000
23.10.2015	800516917090000000000000
24.10.2015	126986951934000000000000
25.10.2015	288652824021000000000000
26.10.2015	741402596925000000000000
27.10.2015	1920965685778000000000000
28.10.2015	1006421137138000000000000
29.10.2015	545258583774000000000000
30.10.2015	1237119493830000000000000
31.10.2015	304192899888000000000000
01.11.2015	173733541293000000000000
02.11.2015	379045158370000000000000
03.11.2015	622802256083000000000000
04.11.2015	833014472938000000000000
05.11.2015	371489802035000000000000
06.11.2015	965601268743000000000000
07.11.2015	452571628844000000000000
08.11.2015	924012136511000000000000
09.11.2015	974054615891000000000000
10.11.2015	918599629465000000000000
11.11.2015	329189331913000000000000
12.11.2015	308952350825000000000000
13.11.2015	494349959374000000000000
14.11.2015	312012637972000000000000
15.11.2015	203701578195000000000000
16.11.2015	463413920744000000000000
17.11.2015	1185068237815000000000000
18.11.2015	226284140990000000000000
19.11.2015	300977691566000000000000
20.11.2015	219729296149000000000000
21.11.2015	160899147208000000000000
22.11.2015	283043788807000000000000
23.11.2015	711887157855000000000000
24.11.2015	420513438393000000000000
25.11.2015	214847021704000000000000
26.11.2015	997239757675000000000000
27.11.2015	706963131309000000000000
28.11.2015	147920188870000000000000
29.11.2015	217706062789000000000000
30.11.2015	263022163802000000000000
01.12.2015	250717311593000000000000
02.12.2015	320761423938000000000000
03.12.2015	249379686383000000000000
04.12.2015	194631744909000000000000
05.12.2015	170558719262000000000000
06.12.2015	265643071393000000000000
07.12.2015	478424023633000000000000
08.12.2015	203684451583000000000000
09.12.2015	273460904924000000000000
10.12.2015	244331827522000000000000
11.12.2015	346226071706000000000000
12.12.2015	512964043384000000000000
13.12.2015	351390806607000000000000
14.12.2015	334774910437000000000000
15.12.2015	561859328050000000000000
16.12.2015	1484952643046000000000000
17.12.2015	466222974980000000000000
18.12.2015	263875532487000000000000
19.12.2015	254478498115000000000000
20.12.2015	231885396111000000000000
21.12.2015	260607439102000000000000
22.12.2015	264731367971000000000000
23.12.2015	170858942255000000000000
24.12.2015	152174548566000000000000
25.12.2015	95341841780000000000000
26.12.2015	171774739211000000000000
27.12.2015	106232176207000000000000
28.12.2015	468816249818000000000000
29.12.2015	312770698320000000000000
30.12.2015	241916721214000000000000
31.12.2015	416393262963000000000000
01.01.2016	370595220311000000000000
02.01.2016	286578192125000000000000
03.01.2016	398439759846000000000000
04.01.2016	181462251043000000000000
05.01.2016	1063849540882000000000000
06.01.2016	289146958775000000000000
07.01.2016	377228280063000000000000
08.01.2016	224237941449000000000000
09.01.2016	238273855498000000000000
10.01.2016	168154172691000000000000
11.01.2016	531524048774000000000000
12.01.2016	1016340674399000000000000
13.01.2016	449694234539000000000000
14.01.2016	359416183250000000000000
15.01.2016	972208796071000000000000
16.01.2016	597786456275000000000000
17.01.2016	397593191683000000000000
18.01.2016	2292620490740000000000000
19.01.2016	1266889575911000000000000
20.01.2016	626797842787000000000000
21.01.2016	520978944503000000000000
22.01.2016	945342069870000000000000
23.01.2016	1169658253212000000000000
24.01.2016	1947946300524000000000000
25.01.2016	2165267320065000000000000
26.01.2016	1472175831286000000000000
27.01.2016	1242728871416000000000000
28.01.2016	948564580080000000000000
29.01.2016	889721408845000000000000
30.01.2016	1016274386233000000000000
31.01.2016	1120879028090000000000000
01.02.2016	626449723949000000000000
02.02.2016	645191669053000000000000
03.02.2016	647724854246000000000000
04.02.2016	356557713469000000000000
05.02.2016	603121415712000000000000
06.02.2016	260857134600000000000000
07.02.2016	922379601139000000000000
08.02.2016	1500059414764000000000000
09.02.2016	1593165511282000000000000
10.02.2016	1963016370237000000000000
11.02.2016	1823459387282000000000000
12.02.2016	2129125784798000000000000
13.02.2016	1319079298151000000000000
14.02.2016	945903245572000000000000
15.02.2016	758850799759000000000000
16.02.2016	1326344971090000000000000
17.02.2016	779771404954000000000000
18.02.2016	1153198129576000000000000
19.02.2016	520813114663000000000000
20.02.2016	1218646490612000000000000
21.02.2016	503626741711000000000000
22.02.2016	831291922177000000000000
23.02.2016	1576642644616000000000000
24.02.2016	2121245095655000000000000
25.02.2016	949627085189000000000000
26.02.2016	4038506408953000000000000
27.02.2016	2198952551547000000000000
28.02.2016	805830705669000000000000
29.02.2016	736807806940000000000000
01.03.2016	1330231882382000000000000
02.03.2016	3625543663729000000000000
03.03.2016	2124723087480000000000000
04.03.2016	1537134956358000000000000
05.03.2016	2890443698146000000000000
06.03.2016	1638596752151000000000000
07.03.2016	1505022327046000000000000
08.03.2016	2172944904274000000000000
09.03.2016	1150598951035000000000000
10.03.2016	883996961730000000000000
11.03.2016	966868085732000000000000
12.03.2016	1553672304162000000000000
13.03.2016	2010052054598000000000000
14.03.2016	1659131008560000000000000
15.03.2016	1327192360546000000000000
16.03.2016	1146353209502000000000000
17.03.2016	1776132084277000000000000
18.03.2016	2387139529068000000000000
19.03.2016	824328070419000000000000
20.03.2016	587376264342000000000000
21.03.2016	922966207377000000000000
22.03.2016	717286570204000000000000
23.03.2016	604637942324000000000000
24.03.2016	986371924653000000000000
25.03.2016	586268660775000000000000
26.03.2016	365483655590000000000000
27.03.2016	1205027669410000000000000
28.03.2016	824711174834000000000000
29.03.2016	1324473948310000000000000
30.03.2016	1397731419641000000000000
31.03.2016	929570157861000000000000
01.04.2016	414591598722000000000000
02.04.2016	407236038065000000000000
03.04.2016	250176139343000000000000
04.04.2016	471291244104000000000000
05.04.2016	720789402280000000000000
06.04.2016	620205427698000000000000
07.04.2016	755290710175000000000000
08.04.2016	581912732250000000000000
09.04.2016	1338029585777000000000000
10.04.2016	1212453278114000000000000
11.04.2016	654601393758000000000000
12.04.2016	1121874840593000000000000
13.04.2016	1169553283660000000000000
14.04.2016	975389839807000000000000
15.04.2016	623652137138000000000000
16.04.2016	465045892563000000000000
17.04.2016	856371422299000000000000
18.04.2016	670479001661000000000000
19.04.2016	439978426672000000000000
20.04.2016	706594698878000000000000
21.04.2016	504776168293000000000000
22.04.2016	785891258965000000000000
23.04.2016	1045896222742000000000000
24.04.2016	406816617905000000000000
25.04.2016	745023574659000000000000
26.04.2016	1194884520562000000000000
27.04.2016	813683335271000000000000
28.04.2016	810242328935000000000000
29.04.2016	639871849703000000000000
30.04.2016	2739992226604000000000000
01.05.2016	1796207530590000000000000
02.05.2016	1950755502401000000000000
03.05.2016	1427017629563000000000000
04.05.2016	1131318023985000000000000
05.05.2016	1136185629852000000000000
06.05.2016	2079248096361000000000000
07.05.2016	1552706362712000000000000
08.05.2016	1455693429907000000000000
09.05.2016	2060878538698000000000000
10.05.2016	2099487716576000000000000
11.05.2016	3084851027460000000000000
12.05.2016	3298772509507000000000000
13.05.2016	8126650656523000000000000
14.05.2016	5946760481882000000000000
15.05.2016	1527964158307000000000000
16.05.2016	1523864034477000000000000
17.05.2016	1355664461065000000000000
18.05.2016	1852838587220000000000000
19.05.2016	2693721536312000000000000
20.05.2016	2294932821778000000000000
21.05.2016	1029697925936000000000000
22.05.2016	704593526896000000000000
23.05.2016	1284313664346000000000000
24.05.2016	1794957355382000000000000
25.05.2016	1749177597944000000000000
26.05.2016	1314166121138000000000000
27.05.2016	2647381182332000000000000
28.05.2016	2245068710627000000000000
29.05.2016	1037366713466000000000000
30.05.2016	1044619721446000000000000
31.05.2016	1052783004401000000000000
01.06.2016	820134246549000000000000
02.06.2016	531777601157000000000000
03.06.2016	658799095859000000000000
04.06.2016	497399009338000000000000
05.06.2016	486682190298000000000000
06.06.2016	512647519159000000000000
07.06.2016	1032902482603000000000000
08.06.2016	2184460203476000000000000
09.06.2016	494516510326000000000000
10.06.2016	926406756402000000000000
