Time	sum(Output total – Blocks (LTC)) – Litecoin
07.10.2011	5000000000
08.10.2011	5000000000
12.10.2011	5000000000
13.10.2011	52829947850000
14.10.2011	7861838248341
15.10.2011	6878291706612
16.10.2011	24494361315621
17.10.2011	13014376010378
18.10.2011	20351747121042
19.10.2011	11824042155158
20.10.2011	15556758749752
21.10.2011	13324097150399
22.10.2011	17124687386386
23.10.2011	16977292134129
24.10.2011	11351539496398
25.10.2011	12508582783914
26.10.2011	21791458621777
27.10.2011	8871308171110
28.10.2011	11792883739887
29.10.2011	14694953364271
30.10.2011	22876181322616
31.10.2011	43321064848093
01.11.2011	47062372015736
02.11.2011	24862901156859
03.11.2011	16730943224735
04.11.2011	18009610198720
05.11.2011	12143947926979
06.11.2011	12040805494477
07.11.2011	12601588822822
08.11.2011	14220096327579
09.11.2011	12700959404121
10.11.2011	11533593585749
11.11.2011	16577024146395
12.11.2011	15278577543001
13.11.2011	15355748623297
14.11.2011	16106899364693
15.11.2011	23377716939431
16.11.2011	53717080767279
17.11.2011	17569981433768
18.11.2011	16558485291376
19.11.2011	11744223385983
20.11.2011	184554312835481
21.11.2011	51930681376898
22.11.2011	14481265461880
23.11.2011	12207652748745
24.11.2011	12920620591031
25.11.2011	15295472849150
26.11.2011	13889269126970
27.11.2011	11726408851930
28.11.2011	17345942590376
29.11.2011	12027899563352
30.11.2011	13766324209173
01.12.2011	15648829573324
02.12.2011	15111398886480
03.12.2011	19202592012220
04.12.2011	15831659283596
05.12.2011	11923373529837
06.12.2011	43080352755865
07.12.2011	14828409433203
08.12.2011	14324997066556
09.12.2011	27453993499421
10.12.2011	9633682793858
11.12.2011	11094679786299
12.12.2011	11498791708165
13.12.2011	12891661789175
14.12.2011	6710634973430
15.12.2011	7871515821141
16.12.2011	8997816297676
17.12.2011	10439836744293
18.12.2011	16013162088369
19.12.2011	11472013990782
20.12.2011	13345052844038
21.12.2011	9309297347366
22.12.2011	14411600988669
23.12.2011	10787583820583
24.12.2011	7139028371123
25.12.2011	5847831514324
26.12.2011	6522687363866
27.12.2011	7904372129132
28.12.2011	8995342854689
29.12.2011	19145950993691
30.12.2011	16031186021748
31.12.2011	12889757044939
01.01.2012	15308028657044
02.01.2012	13886940338385
03.01.2012	10561028940985
04.01.2012	11493889787818
05.01.2012	11532487866336
06.01.2012	11955777537405
07.01.2012	5898917037159
08.01.2012	5533906589794
09.01.2012	3477329438910
10.01.2012	10053915092833
11.01.2012	3815663117331
12.01.2012	12284506914442
13.01.2012	14817001551250
14.01.2012	12689150108990
15.01.2012	10502965461698
16.01.2012	6452089511487
17.01.2012	4625815027065
18.01.2012	6408941607027
19.01.2012	3717236734518
20.01.2012	6800828066534
21.01.2012	7024965553895
22.01.2012	5194064781486
23.01.2012	7513684671720
24.01.2012	9676116524832
25.01.2012	11027978341100
26.01.2012	14756887190130
27.01.2012	42126242917845
28.01.2012	16982553200880
29.01.2012	14176389657920
30.01.2012	20592438236452
31.01.2012	9623698648086
01.02.2012	21895543117111
02.02.2012	28332020560729
03.02.2012	18501266387444
04.02.2012	26902402646704
05.02.2012	19244597026896
06.02.2012	16667068016834
07.02.2012	13580650202574
08.02.2012	26144867188525
09.02.2012	16779747846039
10.02.2012	12714111970913
11.02.2012	14287179731920
12.02.2012	16016503631866
13.02.2012	14484110366566
14.02.2012	21517101972963
15.02.2012	13824376987361
16.02.2012	13772910400828
17.02.2012	13965991302211
18.02.2012	10986686000289
19.02.2012	11075484430528
20.02.2012	46338636708348
21.02.2012	28030006181168
22.02.2012	14231599963695
23.02.2012	108038151619447
24.02.2012	6045328268091
25.02.2012	23572945771783
26.02.2012	9962462427309
27.02.2012	7716157294185
28.02.2012	6578327349475
29.02.2012	15551376507604
01.03.2012	10397952179402
02.03.2012	10654605922676
03.03.2012	13403995281053
04.03.2012	14991351588057
05.03.2012	6398762826684
06.03.2012	7343971361707
07.03.2012	11780174219595
08.03.2012	14695634848087
09.03.2012	10239680174868
10.03.2012	6964563086209
11.03.2012	6885890175009
12.03.2012	5291903427759
13.03.2012	14989549486547
14.03.2012	9626564079710
15.03.2012	51468023317617
16.03.2012	19814997856487
17.03.2012	10539838943379
18.03.2012	16007505047981
19.03.2012	26369994546891
20.03.2012	14407147708866
21.03.2012	14612208718127
22.03.2012	16210476522706
23.03.2012	32966456641794
24.03.2012	17611805589365
25.03.2012	9949144458001
26.03.2012	8740507478656
27.03.2012	18712695341858
28.03.2012	8359882709122
29.03.2012	20927888525532
30.03.2012	16416470567029
31.03.2012	13989873936383
01.04.2012	12667935125099
02.04.2012	20663096733289
03.04.2012	6942332722238
04.04.2012	55361331102394
05.04.2012	8141809417687
06.04.2012	7068320943265
07.04.2012	8801943599272
08.04.2012	8208479297392
09.04.2012	8021368283312
10.04.2012	10736867513540
11.04.2012	14967233018306
12.04.2012	14120090102655
13.04.2012	12665420250393
14.04.2012	21200412859726
15.04.2012	11228345174541
16.04.2012	11823929704622
17.04.2012	12807679305443
18.04.2012	15517403092534
19.04.2012	9096910679585
20.04.2012	18251427146802
21.04.2012	6176558999313
22.04.2012	10060358872029
23.04.2012	11050319241791
24.04.2012	10389126327142
25.04.2012	8679494425488
26.04.2012	10111256132940
27.04.2012	6103203959837
28.04.2012	5999193569150
29.04.2012	6553140711469
30.04.2012	15148281190803
01.05.2012	18594887080301
02.05.2012	25586578186002
03.05.2012	12023453769398
04.05.2012	15697079580452
05.05.2012	10702922414177
06.05.2012	5891030324140
07.05.2012	9735676216136
08.05.2012	7182704772915
09.05.2012	12730961287383
10.05.2012	14793360761385
11.05.2012	6569625521230
12.05.2012	7544538380940
13.05.2012	7932264130333
14.05.2012	22265293185310
15.05.2012	10434065391087
16.05.2012	11952456058445
17.05.2012	8766180252006
18.05.2012	17009415617237
19.05.2012	5752286161786
20.05.2012	9919271391147
21.05.2012	13203212069050
22.05.2012	8567209565181
23.05.2012	12391385687558
24.05.2012	7594417168535
25.05.2012	9253388107467
26.05.2012	7927112166667
27.05.2012	8219843152077
28.05.2012	15397999282106
29.05.2012	11691432718932
30.05.2012	7517261307484
31.05.2012	11279801004356
01.06.2012	7861717048898
02.06.2012	12895026692828
03.06.2012	9325611412565
04.06.2012	11006484928431
05.06.2012	19425340724124
06.06.2012	12423485478823
07.06.2012	7478875482674
08.06.2012	12229455825486
09.06.2012	9018662095714
10.06.2012	9243702977388
11.06.2012	10394103674949
12.06.2012	13837495190448
13.06.2012	13455760487047
14.06.2012	7508107512650
15.06.2012	20652531523224
16.06.2012	7743634745854
17.06.2012	11941248375464
18.06.2012	10748093698325
19.06.2012	15578786367418
20.06.2012	9610226239967
21.06.2012	8954542763205
22.06.2012	24072590388006
23.06.2012	31925951359964
24.06.2012	26872608159644
25.06.2012	69992685049136
26.06.2012	20681162314971
27.06.2012	14840803058742
28.06.2012	15565358236185
29.06.2012	13472095448585
30.06.2012	10307279596215
01.07.2012	17291350620872
02.07.2012	19439881581419
03.07.2012	53365131667415
04.07.2012	236370472611829
05.07.2012	44207128514688
06.07.2012	21723610706130
07.07.2012	26437899750545
08.07.2012	87815519909208
09.07.2012	65321975569477
10.07.2012	37487789614556
11.07.2012	36134876436539
12.07.2012	12065434389201
13.07.2012	29736891892730
14.07.2012	13078443809809
15.07.2012	23057304513905
16.07.2012	22799122276334
17.07.2012	32318875436673
18.07.2012	37512503844171
19.07.2012	28216547827807
20.07.2012	25070145694352
21.07.2012	20657994958332
22.07.2012	13853919953875
23.07.2012	23483093233449
24.07.2012	18640671454065
25.07.2012	29157882045825
26.07.2012	25201259858967
27.07.2012	33220198243885
28.07.2012	18792952267240
29.07.2012	27335311313743
30.07.2012	57070848157963
31.07.2012	100442772584834
01.08.2012	36675249594053
02.08.2012	53863662914502
03.08.2012	96254268539617
04.08.2012	223411763614109
05.08.2012	141449748322562
06.08.2012	53704697500100
07.08.2012	28673292975681
08.08.2012	31367999691333
09.08.2012	10279199486092
10.08.2012	30589390957249
11.08.2012	17117389442849
12.08.2012	36787092767340
13.08.2012	87138521701768
14.08.2012	95382145086935
15.08.2012	47732636318668
16.08.2012	206401477430298
17.08.2012	60679878925712
18.08.2012	31277286108669
19.08.2012	56838520018729
20.08.2012	26541739060005
