Time	sum(Output total – Blocks (ZEC)) – Zcash
28.10.2016	16345040730
29.10.2016	203247970193
30.10.2016	433944799505
31.10.2016	871426337958
01.11.2016	745109580752
02.11.2016	916335023759
03.11.2016	1100923646263
04.11.2016	924956477709
05.11.2016	525765584661
06.11.2016	532096221863
07.11.2016	1145674243207
08.11.2016	674754234459
09.11.2016	835161642283
10.11.2016	869278662469
11.11.2016	802998008076
12.11.2016	881064426296
13.11.2016	942801803657
14.11.2016	1162436698171
15.11.2016	1041698239328
16.11.2016	1287938094396
17.11.2016	1386207498854
18.11.2016	1509658210221
19.11.2016	1457582158805
20.11.2016	1407351383153
21.11.2016	1259087622741
22.11.2016	1374548096484
23.11.2016	1621715136332
24.11.2016	1649959925305
25.11.2016	1904924962443
26.11.2016	1578752370612
27.11.2016	1701089499822
28.11.2016	1684534607168
29.11.2016	1853288783608
30.11.2016	1806502751574
01.12.2016	2047192352016
02.12.2016	2191862177608
03.12.2016	1980274626314
04.12.2016	1850655800331
05.12.2016	2797978869770
06.12.2016	2378898005320
07.12.2016	1962604063596
08.12.2016	1835761566601
09.12.2016	1784856029868
10.12.2016	1733670750024
11.12.2016	2332481542651
12.12.2016	1908062383426
13.12.2016	1957497573495
14.12.2016	3651826164965
15.12.2016	2333888045448
16.12.2016	2027950060512
17.12.2016	2155161234506
18.12.2016	2086530721310
19.12.2016	2211007711526
20.12.2016	3070224890357
21.12.2016	2320573567124
22.12.2016	2822462942608
23.12.2016	3011832946475
24.12.2016	2053496978290
25.12.2016	1942689666470
26.12.2016	1987625569355
27.12.2016	3371941933020
28.12.2016	3957346346440
29.12.2016	2204369617081
30.12.2016	3622160664765
31.12.2016	2161440969241
01.01.2017	2044759369746
02.01.2017	1978092125008
03.01.2017	6278423661961
04.01.2017	2790317275704
05.01.2017	2909386627125
06.01.2017	2718977545027
07.01.2017	3151260434679
08.01.2017	4399973345100
09.01.2017	3488276882616
10.01.2017	2005341420858
11.01.2017	2581137487053
12.01.2017	2926361719403
13.01.2017	2675044507801
14.01.2017	2112418649449
15.01.2017	2657046908396
16.01.2017	2671686004381
17.01.2017	3293825721676
18.01.2017	2611579551065
19.01.2017	3438834290041
20.01.2017	2868093862276
21.01.2017	3514970097649
22.01.2017	2515311198726
23.01.2017	6398013235550
24.01.2017	3749346453741
25.01.2017	4002723950003
26.01.2017	3160567808156
27.01.2017	3162310008157
28.01.2017	2945352615631
29.01.2017	3302334869760
30.01.2017	2799482087047
31.01.2017	2899696487216
01.02.2017	2448460019627
02.02.2017	2769483509632
03.02.2017	2606105485133
04.02.2017	11843602525893
05.02.2017	2410501587258
06.02.2017	2624415110567
07.02.2017	4561782795907
08.02.2017	2771957591466
09.02.2017	2922510567125
10.02.2017	2874896401526
11.02.2017	2450615415868
12.02.2017	2975413455744
13.02.2017	3291115742883
14.02.2017	3042057305783
15.02.2017	4162668078731
16.02.2017	2579660612517
17.02.2017	2353490576422
18.02.2017	3082559367207
19.02.2017	2429484570865
20.02.2017	2685835384883
21.02.2017	2811714351144
22.02.2017	4284097993639
23.02.2017	4516854217042
24.02.2017	3502613557481
25.02.2017	2913952697662
26.02.2017	3034268768639
27.02.2017	3444301931852
28.02.2017	4220257250708
01.03.2017	5666675212871
02.03.2017	7857093293655
